Item_ID,Count
10671,1
54877,1
114369,1
116001,1
184068,1
28889,1
34139,1
35786,1
45513,1
80449,1
98383,1
110453,1
153766,1
171863,1
33220,1
96754,1
100772,1
140643,1
190523,1
12306,1
16749,1
65370,1
105256,1
106264,1
124230,1
17594,1
39870,1
69783,1
91882,1
95116,1
103908,1
105537,1
119786,1
120924,1
136423,1
33827,1
47313,1
68522,1
141458,1
149992,1
163871,1
170855,1
173583,1
37170,1
59756,1
75298,1
90541,1
119993,1
120209,1
135114,1
171160,1
196455,1
201863,1
12090,1
25331,1
46040,1
61407,1
121351,1
159015,1
162007,1
43750,1
50013,1
172764,1
35071,1
38537,1
38803,1
45688,1
51758,1
53629,1
95129,1
121888,1
136602,1
152377,1
17075,1
60135,1
98132,1
100055,1
123550,1
152045,1
159769,1
198561,1
199051,1
100509,1
151249,1
16914,1
22613,1
25650,1
107534,1
20121,1
25860,1
53474,1
63228,1
142050,1
179142,1
198731,1
85472,1
99117,1
129351,1
173956,1
112207,1
136633,1
137927,1
144336,1
154213,1
194975,1
15226,1
24777,1
35271,1
76359,1
113663,1
129421,1
163737,1
185390,1
201425,1
50596,1
78462,1
91841,1
108343,1
130727,1
139349,1
195341,1
201726,1
28392,1
75765,1
95860,1
128591,1
130472,1
134139,1
159024,1
159161,1
168656,1
185530,1
53944,1
61807,1
128681,1
10150,1
13080,1
14951,1
61832,1
148551,1
154665,1
158815,1
190825,1
24580,1
37171,1
58400,1
85953,1
90444,1
164986,1
14540,1
56669,1
129126,1
44180,1
190424,1
200526,1
59037,1
111240,1
119513,1
155066,1
86324,1
171956,1
25806,1
51712,1
52134,1
33898,1
54134,1
60018,1
89033,1
142877,1
145921,1
166019,1
195217,1
196425,1
24573,1
27609,1
42689,1
45542,1
63220,1
182884,1
15156,1
86380,1
87191,1
126791,1
166898,1
198702,1
54113,1
156508,1
15634,1
28913,1
51866,1
57042,1
91103,1
97004,1
111492,1
127226,1
164215,1
191819,1
35748,1
39044,1
59475,1
116870,1
146212,1
159018,1
44761,1
50689,1
84383,1
84655,1
148767,1
188423,1
50906,1
52410,1
55416,1
66169,1
110655,1
130467,1
133223,1
163982,1
170670,1
49355,1
115688,1
161882,1
196338,1
78090,1
95929,1
105046,1
110241,1
134577,1
146835,1
148008,1
186463,1
10393,1
18121,1
24545,1
27167,1
60247,1
95326,1
109836,1
126529,1
134698,1
135083,1
44314,1
118933,1
137140,1
94730,1
94758,1
106738,1
128244,1
144377,1
19728,1
29518,1
75089,1
95876,1
168379,1
168800,1
168868,1
39597,1
54574,1
82127,1
91952,1
110238,1
140587,1
147485,1
152941,1
175689,1
52520,1
58040,1
75086,1
96655,1
138549,1
142030,1
168679,1
91611,1
102356,1
160502,1
178732,1
202880,1
42372,1
113972,1
150070,1
197097,1
35911,1
46306,1
81745,1
101281,1
139551,1
159187,1
162210,1
168546,1
202539,1
16718,1
56312,1
65487,1
75679,1
85034,1
97980,1
128217,1
188186,1
30642,1
77062,1
146429,1
167755,1
169629,1
176350,1
181794,1
192488,1
22586,1
43281,1
49092,1
106967,1
138037,1
138433,1
143230,1
173733,1
186894,1
199656,1
94736,1
120032,1
140753,1
150304,1
162392,1
110617,1
110759,1
20541,1
45975,1
52401,1
133609,1
187502,1
38070,1
46912,1
59366,1
113362,1
135919,1
137427,1
140703,1
152535,1
186754,1
37561,1
40176,1
70297,1
83439,1
158077,1
162054,1
193797,1
71368,1
128368,1
165403,1
57187,1
97456,1
124778,1
16478,1
66871,1
77332,1
167373,1
14512,1
53145,1
124700,1
130505,1
145686,1
165816,1
187737,1
26594,1
71149,1
90879,1
93806,1
137091,1
149676,1
162265,1
199175,1
59654,1
74704,1
105506,1
114701,1
142368,1
194736,1
116168,1
129598,1
176045,1
186377,1
202225,1
23766,1
34794,1
43304,1
91585,1
114443,1
143433,1
163064,1
170368,1
172258,1
191260,1
14392,1
19590,1
30651,1
61020,1
63148,1
65341,1
90873,1
147069,1
150749,1
15556,1
54810,1
79121,1
108116,1
42294,1
127182,1
140496,1
160838,1
161241,1
22903,1
53248,1
62304,1
125189,1
139534,1
12396,1
57149,1
93310,1
100072,1
135682,1
201405,1
24605,1
74781,1
92365,1
106274,1
116937,1
133850,1
149145,1
12246,1
12478,1
29228,1
73834,1
120661,1
125710,1
180404,1
187666,1
191617,1
40940,1
173933,1
189182,1
196518,1
28496,1
60730,1
63829,1
74146,1
78667,1
79736,1
82690,1
163170,1
26976,1
80727,1
103928,1
121755,1
133775,1
15983,1
30450,1
51836,1
54950,1
61344,1
111548,1
185848,1
189947,1
29769,1
57248,1
177769,1
188566,1
190170,1
29222,1
49085,1
83446,1
123061,1
123487,1
138503,1
159222,1
161443,1
92101,1
124705,1
53207,1
62053,1
132156,1
16292,1
18082,1
79615,1
89494,1
112353,1
126800,1
145880,1
150646,1
179319,1
84132,1
145965,1
153757,1
191618,1
200673,1
44995,1
51283,1
107571,1
113771,1
126275,1
156847,1
190189,1
119554,1
158498,1
174322,1
57349,1
75136,1
93963,1
109445,1
126294,1
137756,1
146383,1
33604,1
86467,1
90158,1
95313,1
134320,1
138084,1
183337,1
10914,1
21704,1
139195,1
155867,1
156365,1
195089,1
201580,1
36796,1
78235,1
109491,1
118736,1
164608,1
195824,1
10011,1
13415,1
14691,1
35425,1
60870,1
70127,1
82132,1
116107,1
120863,1
124491,1
153701,1
185977,1
53664,1
96099,1
178428,1
81397,1
109462,1
146629,1
160837,1
202401,1
21502,1
41849,1
111307,1
122916,1
125622,1
144756,1
149071,1
179220,1
195767,1
11305,1
118671,1
120072,1
127950,1
140263,1
150320,1
169896,1
21050,1
37678,1
82240,1
46796,1
63758,1
134901,1
138645,1
77803,1
137913,1
203107,1
202735,1
11509,1
89611,1
104756,1
138009,1
174308,1
14989,1
66578,1
115793,1
178409,1
179693,1
72083,1
84262,1
89793,1
104656,1
113173,1
146836,1
147697,1
161283,1
179226,1
185766,1
14648,1
37812,1
52854,1
71686,1
96371,1
147326,1
166556,1
179382,1
153051,1
174202,1
104023,1
125096,1
127482,1
132737,1
135803,1
180841,1
19084,1
28767,1
56412,1
56921,1
59856,1
70779,1
79891,1
121150,1
127778,1
188026,1
15856,1
17190,1
21764,1
50244,1
63963,1
102518,1
130377,1
165871,1
202349,1
102152,1
147956,1
104916,1
126648,1
137636,1
171756,1
180604,1
61891,1
65677,1
108457,1
146921,1
157352,1
173803,1
183458,1
198694,1
12658,1
70504,1
94149,1
139487,1
148329,1
152887,1
159887,1
27143,1
54869,1
95382,1
132228,1
35537,1
80342,1
88593,1
145572,1
151211,1
42156,1
13875,1
84957,1
144778,1
11203,1
18638,1
41963,1
57104,1
70515,1
75586,1
97664,1
116353,1
145192,1
163817,1
13038,1
35899,1
77814,1
99814,1
101458,1
101921,1
105482,1
155302,1
191123,1
24612,1
68238,1
101485,1
104370,1
132791,1
156079,1
167869,1
170094,1
14454,1
82523,1
88269,1
103352,1
116441,1
189109,1
199225,1
42865,1
157870,1
80319,1
103270,1
71916,1
123009,1
133383,1
173523,1
24862,1
41994,1
99676,1
111205,1
179479,1
180105,1
18517,1
101660,1
104376,1
117878,1
135878,1
159509,1
186225,1
192362,1
201110,1
101999,1
104086,1
107619,1
130542,1
149142,1
181375,1
192963,1
33556,1
55632,1
56825,1
80068,1
92471,1
105755,1
134668,1
140697,1
146315,1
199513,1
20691,1
37031,1
66231,1
77619,1
131585,1
182894,1
195203,1
197416,1
120826,1
122857,1
123850,1
125233,1
138861,1
107293,1
74638,1
90114,1
136062,1
200063,1
13638,1
15810,1
58611,1
69029,1
70183,1
87645,1
128299,1
147231,1
182714,1
190058,1
106463,1
166163,1
190222,1
198615,1
15048,1
43642,1
66100,1
74956,1
103852,1
107879,1
109991,1
175474,1
176984,1
13746,1
15262,1
28989,1
91695,1
125166,1
146241,1
158001,1
169238,1
173845,1
184105,1
29992,1
45756,1
58967,1
60003,1
108788,1
111714,1
119529,1
124372,1
151916,1
176611,1
25739,1
46328,1
56324,1
88274,1
133685,1
146055,1
163800,1
103809,1
15569,1
20920,1
44471,1
60752,1
75924,1
112740,1
136534,1
188161,1
22246,1
40793,1
70975,1
137861,1
11267,1
53500,1
54597,1
68288,1
77718,1
90811,1
95612,1
139883,1
198258,1
21970,1
54947,1
62281,1
69556,1
73174,1
82993,1
138477,1
163389,1
171993,1
174871,1
113714,1
120234,1
137972,1
178340,1
179368,1
194891,1
11259,1
69779,1
79230,1
82658,1
88914,1
105342,1
121078,1
173861,1
201051,1
74170,1
74681,1
79598,1
127347,1
179279,1
152065,1
180204,1
127742,1
17841,1
45361,1
63266,1
88152,1
93606,1
109360,1
146550,1
165517,1
166297,1
169653,1
12724,1
15482,1
24446,1
40273,1
84920,1
159566,1
173464,1
179540,1
186166,1
56715,1
91711,1
103127,1
116439,1
145382,1
180792,1
191143,1
195854,1
51211,1
86000,1
104130,1
188908,1
54400,1
22940,1
97795,1
118955,1
145820,1
168903,1
202446,1
24607,1
82956,1
87429,1
92701,1
93695,1
125951,1
10459,1
17561,1
31549,1
63902,1
73763,1
92431,1
123003,1
123024,1
147471,1
157646,1
18244,1
184366,1
14129,1
49457,1
99829,1
101646,1
114590,1
125820,1
133577,1
135747,1
139388,1
197250,1
49060,1
85122,1
85749,1
180567,1
14709,1
75390,1
98658,1
109574,1
139884,1
150224,1
152046,1
174593,1
31957,1
48495,1
50253,1
67156,1
75881,1
100705,1
101592,1
156800,1
157370,1
176988,1
10466,1
59199,1
69601,1
73595,1
111093,1
125883,1
133726,1
187503,1
188224,1
201137,1
10896,1
46581,1
49663,1
51705,1
58461,1
68800,1
93865,1
99576,1
166531,1
182079,1
17808,1
24845,1
74341,1
75463,1
119368,1
121021,1
152560,1
164158,1
12586,1
45404,1
112373,1
23737,1
33751,1
87869,1
117599,1
135177,1
155909,1
164823,1
183044,1
193266,1
197702,1
12604,1
50708,1
98731,1
61936,1
84715,1
94936,1
114345,1
124201,1
140063,1
